file,relative_path,size_bytes,mtime_iso,md5,sha256
00-Myanmar-Tourism-Sector-Wide-Assessment (1).pdf,00-Myanmar-Tourism-Sector-Wide-Assessment (1).pdf,5658412,2015-03-23T15:38:46,1419e1328d66411536442a87e0241b19,f9fb14b1fd87bc1793aa062339a104783e3e0d4fb038735ba423a4bf2317724d
007-012 AbdulazizMidfa.pdf,007-012 AbdulazizMidfa.pdf,127992,2015-12-14T09:56:44,be726b7943dd39ea92f2813296730f73,0d99c9b6c710b39eb12520b66bc5c1f8ad75002063d93129fb19e3254b0c3e03
01 NSCF-Collection-Management-Conservation-Manual-2021-searchable-2-rotated-1.pdf,01 NSCF-Collection-Management-Conservation-Manual-2021-searchable-2-rotated-1.pdf,34931326,2022-06-29T15:52:10,eb960e3c8148eac46d5d99a637fa5293,ba4a7ff831ed812b1a3cc0b4898159b441dba5c4b3ef7d2e43d18ecc4b202158
02_pimsai_et_al.pdf,02_pimsai_et_al.pdf,29359285,2014-07-24T10:49:10,d92c654062dc6fbdbcf068f63cc6455d,75912c48bd14e505cb1b2a03080a95f993278b2c63c5e7b235cdc2b28d096fd8
02_pimsai_et_al_petit.pdf,02_pimsai_et_al_petit.pdf,2743023,2026-06-19T18:08:32,9475030f7fce303f22af7f6483d6c5f6,fca31f82b29c8d29e61d2f0e2ea8f38f48d71fe4978e04ed2b404a4ed99f34be
1-308 zoher.pdf,1-308 zoher.pdf,150135155,2012-06-20T04:01:02,1240ee6cdba7337cf14a0ea73a9abb1c,57bc77077a5c647349404e3e520f7e253310cf5af6e1ced606fa7b160c4f707c
1. Esselstyn_et_al_2008.pdf,1. Esselstyn_et_al_2008.pdf,1166845,2015-10-15T06:44:20,a504438ed1b6023218ff67cf9a246c96,a97ca7c60eccd1c3977b9707c240dd0347b009484ab00ab0a38ebfa085162513
10. On a Collection of Mammals from Jordan.PDF,10. On a Collection of Mammals from Jordan.PDF,258579,2009-04-27T04:44:54,aae031196113c68f06cc113418dc344a,377639cc434c48fe7d406bb3653acf9a632399e5524057902ec78aa3ba12da8b
10. Wu et al. (2008).pdf,10. Wu et al. (2008).pdf,1176386,2015-11-17T10:50:04,067196849f95d506891b0aa545313431,406e0f16e576a6be6a2b3dbbdf1fabb540bd1b2da38b870b8431d150ec9d60fe
100. Goodman et al. (2010).pdf,100. Goodman et al. (2010).pdf,424553,2016-04-20T11:56:34,8da1d0e23ff4347c7b1d23759cab45b5,f8e7b6d2d03efb353015455c11295e39583e961aae80cbeea02d3ed9b1a027f1
101. Monadjem et al. (2013).pdf,101. Monadjem et al. (2013).pdf,2877076,2015-11-26T06:45:38,0a7b80b0f6bdc21360521e6d354337cf,e067aa74dcda9ad5d5e28178697809718a34fc34dc58de77e832897021a0e025
"101. Small mammals recovered from owl pellets from Syria (Mammalia Chiroptera, Rodentia).pdf","101. Small mammals recovered from owl pellets from Syria (Mammalia Chiroptera, Rodentia).pdf",147221,2013-03-10T11:30:56,ec398671a8ada4b38798d6371b96ba26,6a1da318c4a03d6e75a23087cd7ec044fafb29ed04ef72d5e185182b9b671dbe
102. Goodman et al. (2008).pdf,102. Goodman et al. (2008).pdf,928921,2015-11-26T06:54:24,db53305e98e48da5db04c847c93e157e,1fbc99cbc34b08937bb39ae1d4eb47a44f8849b3612fadfff9fa4fe52031bf50
"102. Status and ecology of the Striped Hyaena, Hyaena hyaena, in Jordan..PDF","102. Status and ecology of the Striped Hyaena, Hyaena hyaena, in Jordan..PDF",611459,2009-04-27T10:13:22,78d1a181e26dcd32686457f4c1873d62,cac812e4334d7206b64596b0fa459033f5ca1880d40d96c0b69d6e4dd8bf3b8b
103. Goodman et al. (2007).pdf,103. Goodman et al. (2007).pdf,426139,2015-11-26T06:59:34,157d470568d8915873a4597ab7150627,a1ba4cd2d0b180ab077684489568bf97675d2065a1dd388366cbbf4813f1f68c
"106. Small mammal remains recovered from pellets of the Barn Owl (Tyto alba) at Shawmari Wildlife Reserve, eastern Jordan..pdf","106. Small mammal remains recovered from pellets of the Barn Owl (Tyto alba) at Shawmari Wildlife Reserve, eastern Jordan..pdf",60187,2007-12-03T05:02:36,861fca97a8e12c202f9d6ae79e02e083,afadc5d88701a571fc2877e16f064a23d2ff53e3fe4f0a3299d41f07470d6d09
108. Altitudinal stratification and habitat selection of rodents.PDF,108. Altitudinal stratification and habitat selection of rodents.PDF,1045748,2009-05-03T04:57:12,ec0bfe2c575ac4b007bd8dc0100fb912,98661f6cc26d17874b14d1e7ee5af9464c51aef636848e5eaff3f3c96ac8b0fb
11. Wu and Thong (2011).pdf,11. Wu and Thong (2011).pdf,334046,2015-12-01T09:50:00,bf8a88db74f25cee68dedc3d2640a762,1114c2c3900736c93b11315b6522fd129a976e86902e68820b40976ef146d28e
"115. Remains of the Water Vole, Arvicola terrestris (Linnaeus, 1758) (Microtinae, Rodentia), from north-western Syria..PDF","115. Remains of the Water Vole, Arvicola terrestris (Linnaeus, 1758) (Microtinae, Rodentia), from north-western Syria..PDF",365473,2009-05-03T05:00:26,7228dfffb78187a310c41bfdc19d96f3,18c8e8a84ed595a3642508e003cba4b5689a1506e8dc38abacdb68a98921f3a3
"116. The status and distribution of the Persian Squirrel, Sciurus anomalus, in Dibbeen Nature Reserve..pdf","116. The status and distribution of the Persian Squirrel, Sciurus anomalus, in Dibbeen Nature Reserve..pdf",897943,2009-04-27T10:41:48,0191274bb9f01be94ea651f5e9325c66,8e8de54c573d1028d575eb9615314f7b297ebe6d0bce3d23c17e517238982593
117. Bat diversity and conservation in Jordan..pdf,117. Bat diversity and conservation in Jordan..pdf,65920,2007-04-11T11:35:50,9734edde45bf5f6d1a7dd9bb82d7459a,ca47c4d76c129a119ba0cc9b365a7b5a16fa7790e09d0ef26186b9585e3cd745
